Company Name,Website,Field,HQ Location,Company Overview,Date: Company Founded,Company LinkedIn URL,Last Funding Round Type ,Last Funding Date,Last Funding Amount $USD,Total Raised $USD,Founders Name,Investors
Lang.ai,lang.ai,Chatbots,"Madrid, Madrid, Spain",Lang.ai is a language understanding platform that automates tagging and repetitive actions for every support conversation.,2018,https://www.linkedin.com/company/lang-ai/,Series A,2022-05-12,"$10,500,000.00","$12,500,000.00",Borja González; Enrique Fueyo Ramírez; Jorge Peñalva,Alumni Ventures; Village Global; 500 Global; GTMFund; Forum Ventures
Luka (dba Replika),replika.ai,Chatbots,"San Francisco, California, United States","Luka is a software development company based in San Francisco, California",2015,https://www.linkedin.com/company/luka-inc,Series A,2017-11-30,"$6,500,000.00","$10,920,000.00",Eugenia Kuyda,Y Combinator; Khosla Ventures; Ludlow Ventures; Zillionize; ACME Capital
NLX,nlx.ai,Chatbots,"New York, New York, United States",NLX transforms customer contact into personalized self-service experiences.,2018,https://www.linkedin.com/company/nlx-ai,Seed,2022-01-27,"$5,000,000.00","$5,000,000.00",Andrei Papancea; Vlad Papancea,JetBlue Ventures; Flying Fish Partners; Sage Venture Partners; Aquila Capital Partners
Observe.AI,observe.ai,Chatbots,"San Francisco, California, United States",Observe.AI is the leading conversation intelligence platform for boosting contact center performance.,2017,https://in.linkedin.com/company/observeai,Series C,2022-04-12,"$125,000,000.00","$214,020,000.00",Akash Singh; Sharath Keshava Narayana; Swapnil Jain,Zoom; Y Combinator; Bossanova Investimentos; Nexus Venture Partners; Menlo Ventures
PolyAI,poly-ai.com,Chatbots,"London, England, United Kingdom",Next generation conversational AI for unbeatable customer service automation.,,,,,,,,
Sapling.ai,sapling.ai,Chatbots,"San Francisco, California, United States",Sapling is the AI writing assistant for customer-facing teams.,2018,https://www.linkedin.com/company/saplingai,Pre-Seed,2019-03-18,"$150,000.00","$150,000.00",Ziang Xie,Y Combinator
Sociate,https://sociate.ai,Chatbots,"London, England, United Kingdom","The future is conversational.   MAIA by Sociate is an AI personal stylist marketplace plug-in for luxury and preloved fashion marketplaces, leveraging proprietary curiosity-infused generative AI.    MAIA sees and speaks to let every customer tell and show what they need and love, like they would with a human assistant.  Online shopping for clothes is broken, reliant on keyword searches and scrolling. 79% of customers simply give up searching by page 3. With MAIA, customers never have to endlessly click and scroll to find the things they love ever again- all without any labelling or tagging burden for the retailer, improving conversion by up to 800%.",2020,https://www.linkedin.com/company/sociate-ai/,Pre-Seed,March 2020,"200,000","300,000",Yasmin Topia,"AI Seed, Startup Funding Club and Outlier Ventures"
Tymely,tymely.ai,Chatbots,"Tel Aviv, Tel Aviv, Israel",Tymely uses AI-human hybrid tech that allows users to handle their support emails and chats and provides empathetic and accurate service.,2020,https://www.linkedin.com/company/tymelyinc/about/,Seed,2022-09-23,"$7,000,000.00","$7,000,000.00",,Hetz Ventures; 97212 Ventures; DESCOvery
ultimate.ai,ultimate.ai,Chatbots,"Berlin, Berlin, Germany",Automate your customer support with the world's most powerful virtual agent platform. In 109 languages. Rated #1 on G2.,2017,https://www.linkedin.com/company/ultimatemoney/,Series A,2020-12-03,"$20,000,000.00","$27,400,545.00",Jaakko Pasanen; Markus Rautio; Reetu Kainulainen; Sarah Al-Hussaini,Techstars; European Innovation Council; OMERS Ventures; Felicis Ventures; Maki.vc
Ushur,ushur.com,Chatbots,"Santa Clara, California, United States",Ushur is a cloud-based AI company that automates service workflows in both the backend process and conversational interfaces.,2014,https://www.linkedin.com/company/ushur-me,Series B,2021-02-09,"$5,000,000.00","$42,000,000.00",Henry Peter; Simha Sadasiva,Plug And Play; 8VC; Third Point Ventures; Iron Pillar; Aflac Global Ventures
Verloop.io,verloop.io,Chatbots,"Bengaluru, Karnataka, India",Conversational AI for Customer Support,,https://www.linkedin.com/company/verloopio/,,,,,,
XOKind,xokind.com,Chatbots,"San Diego, California, United States","XOKind is an AI startup, formed with the mission of simplifying human planning and decision.",2019,https://www.linkedin.com/company/xokind,Pre-Seed,2019-12-12,"$3,600,000.00","$3,600,000.00",Arjun Bansal; Sarah Harris; Scott Leishman; Yinyin Liu,Section 32; Frederic Kerrest; Adam D’Angelo; Naveen Rao; Chuck Dietrich
Adept,adept.ai,ML Platforms,"San Francisco, California, United States",Adept is an artificial intelligence technology company whose goal is to create general artificial intelligence.,2022,https://www.linkedin.com/company/adeptailabs/about/,Series A,2022-04-28,"$65,000,000.00","$65,000,000.00",,Scott Belsky; Addition; Greylock; Root Ventures; Howie Liu
Aporia,aporia.com,ML Platforms,"Tel Aviv, Tel Aviv, Israel",Full-stack ML Observability Platform,2019,https://www.linkedin.com/company/aporiaai,Series A,2022-02-23,"$25,000,000.00","$30,000,000.00",Alon Gubkin; Liran Hason,Tiger Global Management; Samsung NEXT; TLV Partners; Vertex Ventures; Tal Ventures
Archistar.ai,archistar.ai,ML Platforms,"Sydney, New South Wales, Australia","Archistar creates cutting-edge technology that revolutionises the way property professionals plan, design, and build.",2010,https://www.linkedin.com/company/archistarai,Series A,2022-01-01,"$7,990,945.00","$21,960,799.00",Benjamin Coorey; Robert Coorey,AirTree Ventures; NAB Ventures; Skip Capital; Skyfield Capital
Deepset,deepset.ai,ML Platforms,"Berlin, Berlin, Germany",Next-level semantic search for enterprises fueled by latest NLP and open-source,2018,https://www.linkedin.com/company/deepset-ai,Series A,2022-04-28,"$14,000,000.00","$15,600,000.00",Malte Pietsch; Milos Rusic; Timo Möller,GV; Acequia Capital (AceCap); Charlie Songhurst; Mustafa Suleyman; Harpoon
Featureform,featureform.com,ML Platforms,"San Francisco, California, United States","Featureform standardizes how features are defined, managed, and shared.",2019,,Pre-Seed,2021-01-15,"$2,000,000.00","$2,000,000.00",Simba Khadder,Berkeley SkyDeck Fund; Zetta Venture Partners
Galileo,rungalileo.io,ML Platforms,"San Francisco, California, United States",Next generation data toolchain for ML developers,2021,https://www.linkedin.com/company/run-galileo,Series A,2022-11-01,"$18,000,000.00","$23,100,000.00",Atindriyo Sanyal; Vikram Chatterji; Yash Sheth,Battery Ventures; FPV Ventures; Lip-Bu Tan; Walden Catalyst; Anthony Goldbloom
Humains,https://www.humains.com,ML Platforms,"Tel Aviv, Tel Aviv, Israel",Creating autonomous Generative AI agents acting at a human level.,2016,https://www.linkedin.com/company/inpris/,Seed,2022,700k Safe out of $2.5m total,"$2,500,000",Nissan Yaron,Private
Jina AI,jina.ai,ML Platforms,"Berlin, Berlin, Germany",Empowering businesses and developers to build neural search solutions in minutes at scale.,2020,https://www.linkedin.com/company/jinaai,Series A,2021-11-22,"$30,000,000.00","$37,500,000.00",Han Xiao; Xuanbin He,GGV Capital; SAP.iO; Yunqi Partners; Mango Capital; Canaan Partners
LatticeFlow,https://latticeflow.ai,ML Platforms,"Zurich, Zurich, Switzerland","LatticeFlow empowers ML teams to automatically diagnose and fix issues in their AI data and models, as well as assess their safety, reliability and hidden-biases.",2020,https://www.linkedin.com/company/latticeflow/,Series A,"October, 2022","$12,000,000","$14,800,000","Pavol Bielik, Petar Tsankov, Martin Vechev, Andreas Krause","Atlantic Bridge, Open Ocean, Global Founders Capital, btov Partners"
Loci,https://www.loci.ai,ML Platforms,"London, England, United Kingdom","Loci provides an AI platform to help teams understand, sort, and edit vast libraries of 3D content instantly and automatically.",2021,https://www.linkedin.com/company/loci-ai/,Pre-seed,Nov 2021,725000,725000,"Eugene Yi, Jack Davis",
Mystic,https://www.mystic.ai,ML Platforms,,Fast API for generative or custom ML models . Cutting out the need for DevOPs. Keeping costs down through Serverless compute,2019,https://www.linkedin.com/mwlite/company/mystic-ai,SAFE $3.1M 2022,Aug 2022,"$3,100,000","$4,000,000",Paul Hetherington,"Y-Combinator, Good News Ventures, Lunar Ventures,"
Slai,slai.io,ML Platforms,"Cambridge, Massachusetts, United States",slai deploys machine learning models in minutes using infrastructure managed for you.,2021,,Seed,2022-05-10,"$3,500,000.00","$3,500,000.00",Eli Mernit; Luke Lombardi,Alumni Ventures; Tiger Global Management; Y Combinator; Soma Capital; Guy Podjarny
Symbl.ai,symbl.ai,ML Platforms,"Seattle, Washington, United States","Symbl.ai is an early-stage, venture-backed startup that is democratizing access to conversational intelligence for developers.",2018,https://www.linkedin.com/company/symblai/,Series A,2021-11-05,"$17,000,000.00","$23,740,000.00",Surbhi Rathore; Toshish Jawale,Techstars; Bossanova Investimentos; TechNexus Venture Collaborative; GreatPoint Ventures; Jump Capital
Synthesis AI,synthesis.ai,ML Platforms,"San Francisco, California, United States",Synthesis AI provides a data generation platform for computer vision.,2019,https://www.linkedin.com/company/synthesis-ai/about/,Series A,2022-04-28,"$17,000,000.00","$21,500,000.00",Yashar Behzadi,Bossanova Investimentos; 468 Capital; Bee Partners; PJC; LETA Capital
AI21 Labs,ai21.com,Text,"Tel Aviv, Tel Aviv, Israel",AI21 Labs specializes in developing AI systems with an unprecedented capacity to understand and generate natural language.,2017,https://www.linkedin.com/company/ai21/,Series B,2022-07-12,"$64,000,000.00","$118,500,000.00",Ori Goshen; Yoav Shoham,Walden Catalyst; Pitango Venture Capital; Ahren Innovation Capital; TPY Capital; Mark Leslie
Anyword,anyword.com,Text,"New York, New York, United States",Anyword offers publishers and marketers an approach to content distribution and performance measurement.,2013,https://www.linkedin.com/company/getanyword/,Series B,2021-11-18,"$21,000,000.00","$30,100,000.00",Arnon Joseph; Yaniv Makover,The New York Times; UpWest; Innovation Endeavors; Marker; Nir Eyal
Autobound,autobound.ai,Text,"San Francisco, California, United States","Empowering BDRs and AEs to personalize their outreach at scale, using CRM and 3rd party insights.",2018,https://www.linkedin.com/company/autobound,Pre-Seed,2020-06-30,"$1,800,000.00","$1,800,000.00",Daniel Wiener; Kyle Schuster; Tanner McRae,
Cogram,cogram.com,Text,"Berlin, Berlin, Germany",Empower everyone on your team to query data,2021,https://www.linkedin.com/company/cogramai,Seed,2022-04-23,"$4,000,000.00","$4,500,000.00",,Y Combinator
Compose.AI,compose.ai,Text,"Chicago, U.S.A",Compose AI is a free Chrome extension that cuts your writing time by 40% with AI-powered autocompletion,,https://www.linkedin.com/company/compose-ai/,,,,,Mike Shuffet ,
Contexts.com,https://www.contents.com,Text,"Milan, Italy","Contents.com is a Generative Artificial Intelligence SaaS platform that offers automatic content creation tools to support any business.  The combination of artificial intelligence models with proprietary datasets enables high-performance, multi-purpose content generation. The human experience trains the machine to become highly autonomous, up-to-date and performant. This solution covers the entire content workflow, from conception to creation to transformation. Our mission is to transform the content creation market by harnessing the power of the most advanced artificial intelligence technologies combined with the power of human creativity.  Contents' vision embraces an inclusive world where communication barriers do not exist. It wants to become the benchmark for all companies that want to learn how to express themselves better, communicate more powerfully, and be heard more effectively.",2017,https://www.linkedin.com/company/contentsdotcom/mycompany/,"Funding round, series A",2021-03-18,"$8,000,000","$8,000,000",Massimiliano Squillace,Synergo Capital
CopyAI,copy.ai,Text,"Memphis, Tennessee, United States",CopyAI is a startup building AI-powered copywriting tools for business customers.,2020,https://www.linkedin.com/company/copyai,Series A,2021-10-14,"$11,000,000.00","$13,900,000.00",Chris Lu; Paul Yacoubian,Sequoia Capital; Craft Ventures; Tiger Global Management; Wing Venture Capital; Elad Gil
Copymatic,copymatic.ai,Text,"Los Angeles, California, United States","AI-powered copy & content writer. Generate unique, engaging and quality content: from blog posts or landing pages to digital ads in seconds.",2021,https://www.linkedin.com/company/copymaticai/,,,,,Ryan Faber,
Copysmith,copysmith.ai,Text,"San Francisco, California, United States","The world's best AI copywriter. Use AI to write copy for ads, product descriptions, social media posts, landing pages, blog posts, and more.",2020,https://www.linkedin.com/company/copysmith/,Seed,2021-04-21,"$10,000,000.00","$10,000,000.00",Anna Wang; Jasmine Wang,Providence Strategic Growth (PSG); Harmony Venture Labs
Creatext,creatext.ai,Text,"Berlin, Berlin, Germany",Creatext is a Berlin-based team of AI engineers building a “GitHub Copilot for salespeople”.,2020,https://www.linkedin.com/company/creatext-nlp/,Pre-Seed,2021-01-25,"$120,000.00","$120,000.00",Jérôme Bau; Lukas Kemkes,Techstars; Techstars Berlin Accelerator
Frase,frase.io,Text,"Boston, Massachusetts, United States",Frase is provides Artificial intelligence based market research assistant.,2016,https://www.linkedin.com/company/fraseai,Seed,2018-09-19,"$947,000.00","$947,000.00",Cody Jacques; Tomas Ratia,Bantam Group; Pedro Tortosa
genei,genei.io,Text,"London, England, United Kingdom","Genie is an AI-powered platform for information extraction, note-taking, and research.",2019,https://www.linkedin.com/company/genei,Pre-Seed,2021-09-17,"$125,000.00","$125,000.00",Adrien Wald; Billy B. Richards; Jack Bowen,Y Combinator; PROTOCOL — by GETTYLAB; Youcef Oudjidane
GoCharlie,https://www.GoCharlie.ai,Text,,AI content creation platform,2021,,,,"$385,000","$405,000",Brennan Woodruff,
Hypertype.co,hypertype.co,Text,"Stockholm, Stockholms Lan, Sweden",Hypertype is the smartest email experience for sales communications using AI.,2021,https://www.linkedin.com/company/hypertype-co,Pre-Seed,2022-05-04,"$1,221,408.00","$1,499,749.00",Alex Bejan; Beatrice Baltscheffsky; Teenie Fung,Antler; Luminar Ventures; Propel Capital; Sting
Hypotenuse,hypotenuse.ai,Text,"Mountain View, California, United States","Hypotenuse AI automatically generates content writing for businesses, including product descriptions, advertising text, and blog posts.",2020,https://www.linkedin.com/company/hypotenuse-ai/,Seed,2021-01-09,,"$125,000.00",Joshua Wong; Low Lin-Hui,Y Combinator; CABRA VC; Protégé Ventures
Jasper,jasper.ai,Text,"Austin, Texas, United States",Jasper is an AI content platform that allows individuals and teams to use AI to scale their content strategies.,2021,https://www.linkedin.com/company/heyjasperai,Series A,2022-10-18,"$125,000,000.00","$131,000,000.00",Dave Rogenmoser; John Philip Morgan,Insight Partners; IVP; Bessemer Venture Partners; Coatue; Bossanova Investimentos
Lately,lately.ai,Text,"New York, New York, United States",Lately is the only A.I.-powered social media marketing management platform that creates content FOR you.,2014,https://www.linkedin.com/company/latelyai,Convertible Note,2021-01-15,"$405,000.00","$3,385,066.00",Brian S; Jason DeBacco; Kate Bradley Chernis; Steve Blood,LAUNCH; (ERA) Entrepreneurs Roundtable Accelerator; Isaac Oates; Joanne Wilson; Grand Central Tech
Letterdrop,letterdrop.com,Text,"San Francisco, California, United States",Letterdrop is a web and email publishing platform that helps creators and small businesses earn.,2020,https://www.linkedin.com/company/letterdrop,Pre-Seed,2020-03-31,,,Parthi Loganathan,Y Combinator
Linguix,https://linguix.com,Text,"Miami, Florida, United States",Free AI-based online writing assistant,,https://www.linkedin.com/company/linguix-grammar/,Pre-Seed,,,,,Antler
Mavenoid,mavenoid.com,Text,"Stockholm, Stockholms Lan, Sweden",Mavenoid develops an AI-driven product support and troubleshooting platform for hardware companies.,2017,https://www.linkedin.com/company/mavenoid/,Series B,2022-08-31,"$30,000,000.00","$39,900,000.00",Gintautas Miliauskas; Shahan Lilja,Creandum; Mosaic Ventures; Point Nine; Jeremy Yap; ABB Technology Ventures
Mutiny,mutinyhq.com,Text,"San Francisco, California, United States","Mutiny offers a personalization website, advertising, account-based marketing, and paid media optimization services.",2018,https://www.linkedin.com/company/mutinyhq,Series B,2022-04-20,"$50,000,000.00","$71,620,000.00",Jaleh Rezaei; Nikhil Mathew,Sequoia Capital; Insight Partners; Tiger Global Management; Y Combinator; Hack VC
OthersideAI (HyperWrite),othersideai.com,Text,"Los Angeles, California, United States",OthersideAI is a provider of an AI-driven software which turns summaries and shorthand notes into written emails.,2020,https://www.linkedin.com/company/othersideai,Seed,2020-11-12,"$2,600,000.00","$2,600,000.00",Jason Kuperberg; Matt Shumer; Miles Feldstein,Madrona; Hustle Fund; Chapter One Ventures; Active Capital; New York Venture Partners
Persado,persado.com,Text,"New York, New York, United States",Persado provides Motivation Artificial Intelligence (AI) that drives personalized communications at scale.,2012,http://www.linkedin.com/company/persado,Series C,2016-04-05,"$30,000,000.00","$66,000,000.00",Alex Vratskides; Assaf Baciu; Guy Krief,Goldman Sachs; Citi Ventures; Bain Capital Ventures; American Express Ventures; American Express
regie.ai,regie.ai,Text,"San Francisco, California, United States",Regie is an all-in-one AI content creation and management system for modern GTM teams.,2020,https://www.linkedin.com/company/regie-ai/,Series A,2022-09-29,"$10,000,000.00","$14,800,000.00",Matt Millen; Srinath Sridhar,Foundation Capital; Scale Venture Partners; Day One Ventures; South Park Commons
Smart Writer,smartwriter.ai,Text,"Sydney, New South Wales, Australia",Personalised AI Cold Email Outreach. Automate your entire lead generation in 1 click,,https://www.linkedin.com/company/smartwriterai/?originalSubdomain=au,,,,,,
Typewise,https://www.typewise.app,Text,"Zurich, Zurich, Switzerland",AI Writing Solution for Customer Service and Sales teams.,2019,https://www.linkedin.com/company/typewise/,Seed,2022-09-01,,"$3,400,000",Janis Berneker,Y Combinator 
Writer,writer.com,Text,"San Francisco, California, United States","Writer is the AI writing platform for teams. Customers include UnitedHealthcare, Accenture, Intuit, L'Oreal, UiPath, HubSpot, and Spotify.",2020,http://www.linkedin.com/company/getwriter,Series A,2021-11-15,"$21,000,000.00","$26,000,000.00",May Habib; Waseem AlShikh,Insight Partners; GTMFund; Bonfire Ventures; Upfront Ventures; Scott Belsky
Writesonic,writesonic.com,Text,"San Francisco, California, United States","Writesonic's AI writing assistant is used by 200,000 businesses to automate their writing and save 80% of their time and energy.",2021,https://www.linkedin.com/company/writesonic/,Seed,2021-09-30,"$2,500,000.00","$2,625,000.00",Samanyou Garg,Y Combinator; Soma Capital; HOF Capital; Amino Capital; BluePointe Ventures
You.com,you.com,Text,"Palo Alto, California, United States",You.com is a search engine that helps users find what they're looking for by prioritizing real results.,2020,https://www.linkedin.com/company/youdotcom,Series A,2022-07-14,"$25,000,000.00","$45,000,000.00",Bryan McCann; Richard Socher,SV Angel; Day One Ventures; Radical Ventures; Norwest Venture Partners; Breyer Capital
Ad Auris,https://www.ad-auris.com,Audio,"Vancouver, British Columbia, Canada","Turning written content into podcast-like audio, instantly.",,https://www.linkedin.com/company/ad-auris/,Pre-Seed,,,,,Antler
Aimi,aimi.fm,Audio,"Austin, Texas, United States",Not a playlist. Not radio. Aimi is an entirely new listening experience. Just press play.,2019,https://www.linkedin.com/company/54311717/admin/,Series B,2021-11-19,"$20,000,000.00","$20,000,000.00",Edward Balassanian,Ethos VC; Founders Fund; Great Mountain Partners
Altered,https://www.altered.ai,Audio,"London, England, United Kingdom",Digital Audio Content Creation,2018,https://www.linkedin.com/company/altered-ltd/,,,,,Ioannis Agiomyrgiannakis ,
AssemblyAI,assemblyai.com,Audio,"San Francisco, California, United States",AssemblyAI is an AI company building a platform of APIs to transcribe and understand audio data.,2017,https://www.linkedin.com/company/assemblyai/,Series B,2022-07-14,"$30,000,000.00","$63,120,000.00",Dylan Fox,Insight Partners; Accel; Y Combinator; TechNexus Venture Collaborative; Daniel Gross
coqui.ai,coqui.ai,Audio,"Berlin, Berlin, Germany",Coqui is a startup that provides open speech tech for everyone.,2021,https://www.linkedin.com/company/coqui-ai,,,,,Eren Gölge; Josh Meyer; Kelly Davis; Reuben Morais,
Deepgram,deepgram.com,Audio,"San Francisco, California, United States",Deepgram is an AI Speech Platform that provides developers with a simple to use Speech-to-Text API.,2015,https://www.linkedin.com/company/deepgram,Series B,2022-11-29,"$47,000,000.00","$85,920,000.00",Noah Shutty; Scott Stephenson,Tiger Global Management; Y Combinator; NVIDIA; BlackRock; 1517 Fund
Dubverse.ai,dubverse.ai,Audio,"Gurgaon, Haryana, India",Dubverse.ai is an AI-powered SaaS video content dubbing and creation platform which supports end-to-end dubbing.,2021,https://www.linkedin.com/company/dubverse,Seed,2022-06-07,"$800,000.00","$800,000.00",Anuja Dhawan; Varshul CW,Kalaari Capital
Endel,endel.io,Audio,"Berlin, Berlin, Germany","Endel is a cross-platform audio ecosystem that creates personalized soundscapes to reduce stress, improve sleep, and boost productivity.",2018,https://www.linkedin.com/company/endelsound,Series B,2022-04-05,"$15,000,000.00","$21,221,791.00",Dimitry Bezugly; Kirill Bulatsev; Oleg Stavitsky,Techstars; Kima Ventures; True Ventures; Target Global; Amazon Alexa Fund
Kaizan,kaizan.ai,Audio,"London, England, United Kingdom","The AI assistant that amplifies your abilities at work - Stop writing notes, updates and reports - Get your AI to do it.",2021,https://www.linkedin.com/company/kaizan/,Pre-Seed,2022-05-18,"$1,152,071.00","$1,152,071.00",Glen Calvert; Pravin Paratey,Entrepreneur First; Ledger; Founders Factory; Charlotte Street Capital; IPONWEB
Krisp,krisp.ai,Audio,"Berkeley, California, United States",Krisp’s mission is to empower people to speak more effectively through technology.,2017,https://www.linkedin.com/company/krisphq/,Series A,2021-02-16,"$9,000,000.00","$17,500,000.00",Artavazd Minasyan; Davit Baghdasaryan,Sierra Ventures; TechNexus Venture Collaborative; Berkeley SkyDeck Fund; RTP Global; Shanda Group
Listnr,listnr.tech,Audio,"Middletown, Delaware, United States","Listnr is an all in one podcating solution to help you record, edit, distribute and monetize your podcast on one platform.",2020,https://www.linkedin.com/company/listnr,,,,,Ananay Batra,
LOVO,lovo.ai,Audio,"Berkeley, California, United States",LOVO is an AI and machine learning text-to-speech voiceover speech software platform.,2019,https://www.linkedin.com/company/lovoai,Seed,2022-04-07,"$2,000,000.00","$6,850,000.00",Tom Lee,Berkeley SkyDeck Fund; Primer Sazze Partners; Goodwater Capital; Hashed; PKO Investments
Moises,moises.ai,Audio,"Salt Lake City, Utah, United States",Moises is an audio-tech company that leverages machine learning and data science in relation to music and audio processing.,2019,https://www.linkedin.com/company/43368220,Venture - Series Unknown,2022-06-10,"$8,825,709.00","$10,425,709.00",Eddie Hsu; Geraldo Ramos; Jardson Almeida,Alumni Ventures; Norwest Venture Partners; Index Ventures; Goodwater Capital; Kickstart
Mubert,mubert.com,Audio,"Dover, Delaware, United States","Mubert is an AI-powered platform that allows its users to create soundtracks and music, and also connects musicians and listeners.",2017,https://www.linkedin.com/company/mubert/,Convertible Note,2020-03-04,"$1,300,000.00","$2,200,000.00",Alexey Kochetkov,AltaIR Capital; GVA Capital; LVL1 Group; IT-Farm; Marat Kichikov
MURF AI,murf.ai,Audio,"Salt Lake City, Utah, United States","Murf AI is a synthetic speech technology startup developing lifelike AI voices for podcasts, slideshows, and professional presentations.",2020,https://in.linkedin.com/company/murf-ai,Series A,2022-09-21,"$10,000,000.00","$11,500,000.00",Ankur Edkie; Divyanshu Pandey; Sneha Roy,Elevation Capital; Sanjeev Barnwal; Matrix Partners India; Vidit Aatrey; Ankit Bhati
Neural Space,neuralspace.ai,Audio,"London, England, United Kingdom",The one-stop solution for all your NLP needs in 100+ languages,2019,https://www.linkedin.com/company/neuralspace/,Seed,2022-09-20,"$1,251,874.00","$3,071,875.00",Ayushman Dash; Felix Laumann; Kumar Shridhar,Techstars; APX; Verissimo Ventures; Merus Capital; GoHub
Notably,notably.ai,Audio,"Florida, New York, United States",Notably offers a qualitative research intelligence platform for building a SaaS product & offering qualitative research.,2021,https://www.linkedin.com/company/notablyai/,Seed,2022-10-12,"$1,500,000.00","$1,500,000.00",,Sentiero Ventures
Papercup,papercup.com,Audio,"London, England, United Kingdom",Papercup translates videos using AI by generating voices that sound like the original speaker,2017,https://www.linkedin.com/company/papercup-ai/,Series A,2022-06-09,"$20,000,000.00","$33,234,603.00",Jesse Shemen; Jiameng Gao,Entrepreneur First; Sands Capital Ventures; Octopus Ventures; LocalGlobe; BDMI
Replica Studios,replicastudios.com,Audio,"Brisbane, Queensland, Australia",Replica Studios creates naturally expressive voice-overs and performances through an AI that can replicate the human voice.,2018,https://www.linkedin.com/company/replica-ai,Seed,2021-09-03,"$2,873,757.00","$5,373,757.00",Keni Mardira; Riccardo Grinover; Shreyas Nivas,Carthona Capital; The Venture Reality Fund; VRF; Techstars Ventures; Mawson Ventures
Resemble AI,resemble.ai,Audio,"Toronto, Ontario, Canada",Resemble AI creates Custom Voices using proprietary Deep Learning models that can produce realistic Speech Synthesis.,2018,https://www.linkedin.com/company/resembleai,Seed,2021-05-16,"$2,000,000.00","$4,000,000.00",Saqib Muhammad; Zohaib Ahmed,Craft Ventures; Betaworks; Canaan Partners; Firstminute Capital; Spacecadet Ventures
Soundful,soundful.com,Audio,"San Diego, California, United States",The future of music is now. Empowering Everyone to Make Music and Content.,,https://www.linkedin.com/company/soundful/,,,,,,
Soundraw,https://soundraw.io,Audio,"Tokyo, Japan",AI music generator for creators,2020,https://www.linkedin.com/company/soundraw/,Pre-series A,2022/6,"1,500,000","2,000,000",Daigo Kusunoki,
